Year,Brand,Model,Engine,Price,MPG,Top Speed,Safety Features
2019,Toyota,RAV4,3.5L V6,$30736,25,155,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2022,Kia,Soul,1.6L I4,$27444,38,125,"Lane keep assist, forward collision warning, automatic emergency braking"
2020,Nissan,Altima,Electric,$38368,110,140,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2023,Honda,Accord,2.5L I4,$35781,29,135,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2020,Honda,Accord,2.0L I4 turbo,$36906,29,145,"Forward collision warning, automatic emergency braking, lane departure warning"
2021,Ford,F-150,1.6L I4,$27247,40,125,"Lane keep assist, forward collision warning, automatic emergency braking"
2019,Mercedes-Benz,GLC,1.6L I4,$29311,37,125,"EyeSight Driver Assist Technology, lane keep assist, adaptive cruise control"
2021,Hyundai,Elantra,2.5L I4,$24203,33,135,"Automatic emergency braking, pedestrian detection, rear cross traffic alert"
2020,Honda,CR-V,Electric,$37106,111,140,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2019,BMW,5 Series,2.5L I4,$33798,26,135,"EyeSight Driver Assist Technology, lane keep assist, adaptive cruise control"
2019,Mercedes-Benz,GLC,2.5L I4,$37025,27,135,"Blind spot monitoring, rear cross traffic alert, automatic emergency braking"
2021,Nissan,Altima,Electric,$35661,130,140,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2023,Toyota,Corolla,2.5L I4,$41907,34,135,"Lane keep assist, forward collision warning, automatic emergency braking"
2023,BMW,X5,2.0L I4 turbo,$25685,26,145,"Forward collision warning, automatic emergency braking, lane departure warning"
2022,Chevrolet,Impala,1.6L I4,$21978,38,125,"Lane keep assist, forward collision warning, automatic emergency braking"
2021,Honda,Accord,2.5L I4,$37330,31,135,"Forward collision warning, automatic emergency braking, lane departure warning"
2020,Volkswagen,Atlas,2.0L I4 turbo,$30073,33,145,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2024,Nissan,Sentra,2.0L I4 turbo,$37144,25,145,"EyeSight Driver Assist Technology, lane keep assist, adaptive cruise control"
2020,Nissan,Altima,1.6L I4,$32525,35,125,"Forward collision warning, automatic emergency braking, lane departure warning"
2022,BMW,X3,2.5L I4,$40065,30,135,"Lane keep assist, forward collision warning, automatic emergency braking"
2024,Ford,Explorer,1.6L I4,$34047,33,125,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2020,Hyundai,Tucson,2.5L I4,$30639,26,135,"Lane keep assist, forward collision warning, automatic emergency braking"
2023,Ford,Mustang,1.6L I4,$29433,39,125,"EyeSight Driver Assist Technology, lane keep assist, adaptive cruise control"
2019,Chevrolet,Silverado,2.0L I4 turbo,$41005,31,145,"EyeSight Driver Assist Technology, lane keep assist, adaptive cruise control"
2021,Volkswagen,Tiguan,Electric,$36946,118,140,"Automatic emergency braking, pedestrian detection, rear cross traffic alert"
2024,Mercedes-Benz,E-Class,2.5L I4,$24754,29,135,"Blind spot monitoring, rear cross traffic alert, automatic emergency braking"
2019,Nissan,Rogue,1.6L I4,$25676,35,125,"Lane keep assist, forward collision warning, automatic emergency braking"
2022,Nissan,Pathfinder,2.5L I4,$26294,33,135,"Lane keep assist, forward collision warning, automatic emergency braking"
2020,Chevrolet,Equinox,3.5L V6,$29453,21,155,"Lane keep assist, forward collision warning, automatic emergency braking"
2024,Hyundai,Elantra,3.5L V6,$35377,26,155,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2019,Volkswagen,Tiguan,2.5L I4,$29509,30,135,"Forward collision warning, automatic emergency braking, lane departure warning"
2022,BMW,X3,Electric,$36072,116,140,"Forward collision warning, automatic emergency braking, lane departure warning"
